t,sx1,sy1,sx2,sy2,vx1,vy1,v1,vAngle1,vx2,vy2,v2,vAngle2,distance,
0,-3.8269,3.2114,-3.8269,-3.2114,3.064,-2.571,3.9998,5.5851,3.064,2.571,3.9998,0.6981,6.4229,
1.0731,-0.539,0.4525,-0.539,-0.4525,3.064,-2.571,3.9998,5.5851,3.064,2.571,3.9998,0.6981,0.9051,
1.2283,-0.0633,0.0534,-0.0633,-0.0534,3.064,-2.571,3.9998,5.5851,3.064,2.571,3.9998,0.6981,0.1067,
1.2383,-0.0329,0.0279,-0.0329,-0.0279,3.064,-2.5494,3.9859,5.5892,3.064,2.5494,3.9859,0.694,0.0558,
1.2393,-0.0299,0.0254,-0.0299,-0.0254,3.064,-2.4605,3.9297,5.6066,3.064,2.4605,3.9297,0.6766,0.0508,
1.2403,-0.0268,0.023,-0.0268,-0.023,3.064,-2.2813,3.82,5.6432,3.064,2.2813,3.82,0.64,0.046,
1.2413,-0.0237,0.0209,-0.0237,-0.0209,3.064,-2.0012,3.6596,5.7046,3.064,2.0012,3.6596,0.5786,0.0417,
1.2423,-0.0207,0.019,-0.0207,-0.019,3.064,-1.6209,3.4663,5.7966,3.064,1.6209,3.4663,0.4866,0.0381,
1.2433,-0.0176,0.0177,-0.0176,-0.0177,3.064,-1.1524,3.2735,5.9234,3.064,1.1524,3.2735,0.3597,0.0353,
1.2443,-0.0146,0.0168,-0.0146,-0.0168,3.064,-0.6176,3.1256,6.0843,3.064,0.6176,3.1256,0.1989,0.0335,
1.2453,-0.0115,0.0164,-0.0115,-0.0164,3.064,-0.0462,3.0643,6.2681,3.064,0.0462,3.0643,0.0151,0.0329,
1.2463,-0.0084,0.0167,-0.0084,-0.0167,3.064,0.5278,3.1091,0.1706,3.064,-0.5278,3.1091,6.1126,0.0334,
1.2473,-0.0054,0.0175,-0.0054,-0.0175,3.064,1.0701,3.2455,0.336,3.064,-1.0701,3.2455,5.9472,0.035,
1.2483,-0.0023,0.0188,-0.0023,-0.0188,3.064,1.5502,3.4338,0.4684,3.064,-1.5502,3.4338,5.8148,0.0376,
1.2493,0.0008,0.0206,0.0008,-0.0206,3.064,1.9449,3.6291,0.5656,3.064,-1.9449,3.6291,5.7176,0.0412,
1.2503,0.0038,0.0227,0.0038,-0.0227,3.064,2.2405,3.7958,0.6314,3.064,-2.2405,3.7958,5.6518,0.0454,
1.2513,0.0069,0.025,0.0069,-0.025,3.064,2.4347,3.9136,0.6715,3.064,-2.4347,3.9136,5.6117,0.0501,
1.2523,0.01,0.0275,0.01,-0.0275,3.064,2.5363,3.9776,0.6915,3.064,-2.5363,3.9776,5.5917,0.0551,
1.2533,0.013,0.0301,0.013,-0.0301,3.064,2.5663,3.9968,0.6972,3.064,-2.5663,3.9968,5.5859,0.0602,
1.3355,0.2651,0.2413,0.2651,-0.2413,3.064,2.5669,3.9971,0.6973,3.064,-2.5669,3.9971,5.5858,0.4826,
1.8479,1.835,1.5564,1.835,-1.5564,3.064,2.5669,3.9971,0.6973,3.064,-2.5669,3.9971,5.5858,3.1128,
