t (s),sx1 (m),sy1 (m),sx2 (m),sy2 (m),vx1 (ms^-1),vy1 (ms^-1),v1 (ms^-1),vAngle1 (deg),vx2 (ms^-1),vy2 (ms^-1),v2 (ms^-1),vAngle2 (deg),distance (m),
0,0.0022,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,2.9982,
0.3896,1.6302,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,2.1340,
0.5967,2.115,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,1.6083,
0.7143,2.3736,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,1.1868,
0.7845,2.5281,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,0.6082,
0.829,2.6259,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,0.3234,
0.869,2.7139,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,0.1806,
0.909,2.8019,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,0.0762,
0.9094,2.8028,0,3,0.0518,2.1939,-0.0107,2.1939,359.722,0.0061,0.0107,0.0123,60.0589,0.0612,
0.9098,2.8037,0,3,0.0518,2.1856,-0.025,2.1857,359.344,0.0144,0.025,0.0289,60.0714,0.0608,
0.9102,2.8046,0,3,0.0518,2.1753,-0.043,2.1757,358.867,0.0247,0.043,0.0496,60.0843,0.0604,
0.9106,2.8054,0,3,0.0518,2.1629,-0.0644,2.1639,358.293,0.0371,0.0644,0.0743,60.0976,0.0600,
0.911,2.8063,-0.0001,3,0.0518,2.1487,-0.0892,2.1506,357.624,0.0513,0.0892,0.1028,60.111,0.0596,
0.9114,2.8072,-0.0001,3.0001,0.0518,2.1328,-0.117,2.136,356.861,0.0672,0.117,0.1349,60.1245,0.0592,
0.9118,2.808,-0.0002,3.0001,0.0519,2.1152,-0.1476,2.1204,356.007,0.0848,0.1476,0.1702,60.1381,0.0588,
0.9122,2.8089,-0.0002,3.0001,0.0519,2.0962,-0.1809,2.104,355.067,0.1038,0.1809,0.2086,60.1516,0.0584,
0.9126,2.8097,-0.0003,3.0002,0.0519,2.0758,-0.2166,2.0871,354.044,0.1242,0.2166,0.2496,60.1651,0.0581,
0.913,2.8105,-0.0004,3.0002,0.0519,2.0543,-0.2543,2.0699,352.944,0.1457,0.2543,0.2931,60.1785,0.0577,
0.9134,2.8113,-0.0005,3.0003,0.0519,2.0317,-0.2937,2.0529,351.774,0.1683,0.2937,0.3385,60.1917,0.0574,
0.9138,2.8121,-0.0006,3.0004,0.052,2.0084,-0.3346,2.0361,350.542,0.1916,0.3346,0.3856,60.2049,0.0571,
0.9142,2.8129,-0.0008,3.0005,0.052,1.9845,-0.3766,2.0199,349.255,0.2155,0.3766,0.4339,60.2178,0.0567,
0.9146,2.8137,-0.0009,3.0005,0.052,1.9601,-0.4194,2.0045,347.924,0.2399,0.4194,0.4831,60.2306,0.0564,
0.915,2.8145,-0.0011,3.0006,0.052,1.9355,-0.4626,1.9901,346.559,0.2645,0.4626,0.5328,60.2431,0.0561,
0.9154,2.8153,-0.0013,3.0008,0.0521,1.9109,-0.5059,1.9768,345.173,0.2891,0.5059,0.5826,60.2554,0.0558,
0.9158,2.816,-0.0015,3.0009,0.0521,1.8865,-0.5489,1.9647,343.778,0.3135,0.5489,0.6321,60.2674,0.0556,
0.9162,2.8168,-0.0018,3.001,0.0521,1.8625,-0.5913,1.9541,342.387,0.3375,0.5913,0.6808,60.2791,0.0553,
0.9166,2.8175,-0.002,3.0011,0.0521,1.839,-0.6327,1.9448,341.014,0.361,0.6327,0.7285,60.2905,0.0550,
0.917,2.8183,-0.0023,3.0013,0.0521,1.8162,-0.6729,1.9369,339.671,0.3838,0.6729,0.7746,60.3015,0.0548,
0.9174,2.819,-0.0025,3.0015,0.0522,1.7944,-0.7114,1.9303,338.374,0.4056,0.7114,0.8189,60.312,0.0546,
0.9178,2.8197,-0.0028,3.0016,0.0524,1.7737,-0.748,1.925,337.133,0.4263,0.748,0.861,60.3221,0.0543,
0.9182,2.8204,-0.0031,3.0018,0.053,1.7543,-0.7824,1.9209,335.963,0.4457,0.7824,0.9005,60.3317,0.0542,
0.9186,2.8211,-0.0035,3.002,0.0532,1.7363,-0.8143,1.9178,334.874,0.4637,0.8143,0.9371,60.3407,0.0541,
0.919,2.8218,-0.0038,3.0022,0.0535,1.7199,-0.8434,1.9155,333.876,0.4801,0.8434,0.9705,60.3491,0.0539,
0.9194,2.8225,-0.0041,3.0024,0.0541,1.7051,-0.8696,1.9141,332.979,0.4949,0.8696,1.0005,60.3568,0.0538,
0.9198,2.8231,-0.0045,3.0026,0.0551,1.6922,-0.8925,1.9132,332.192,0.5078,0.8925,1.0269,60.3637,0.0539,
0.9202,2.8238,-0.0049,3.0028,0.057,1.6812,-0.9121,1.9127,331.521,0.5188,0.9121,1.0493,60.3698,0.0540,
0.9206,2.8245,-0.0052,3.003,0.0601,1.6723,-0.928,1.9125,330.971,0.5277,0.928,1.0676,60.375,0.0543,
0.921,2.8252,-0.0056,3.0032,0.071,1.6654,-0.9403,1.9125,330.549,0.5346,0.9403,1.0817,60.3792,0.0562,
0.9214,2.8258,-0.006,3.0034,0.081,1.6606,-0.9489,1.9126,330.257,0.5394,0.9489,1.0915,60.3822,0.0582,
0.9218,2.8265,-0.0064,3.0036,0.0991,1.658,-0.9535,1.9126,330.097,0.542,0.9535,1.0968,60.3839,0.0624,
0.9341,2.8468,-0.0181,3.0103,1.031,1.6575,-0.9544,1.9126,330.065,0.5425,0.9544,1.0979,60.3842,0.4902,
0.9741,2.9131,-0.0562,3.032,1.05,1.6575,-0.9544,1.9126,330.065,0.5425,0.9544,1.0979,60.3842,0.5156,
1.0141,2.9794,-0.0944,3.0537,1.113,1.6575,-0.9544,1.9126,330.065,0.5425,0.9544,1.0979,60.3842,0.5641,
1.0647,3.0634,-0.1428,3.0812,1.147,1.6575,-0.9544,1.9126,330.065,0.5425,0.9544,1.0979,60.3842,0.6043,
